Restaurant,description
Fable,Amazing. Can I make a review that short? No? Okay I'll go on. The eggs benny is out of this world amazing. Sauce is perfectly acidic (hate a sauce that's just all fat with nothing to cut through it). This place is hyped up for damn good reason.
Fable,"I breakfast'd real hard during a long weekend trip to Vancouver recently, and one of the few disappointments was a brunch visit to Fable. The service and atmosphere were great, but the food itself really fell short. 

Star 1: How were the service and atmosphere?

The cozy vibe at Fable was complimented by fast and friendly service, so I really had no complaints. Star. 

Star 2: How were the portions relative to the cost?

$12.00 got me the 'Farmer's Muffin', which was essentially an open faced breakfast sandwich. Not an unreasonable price point given the size of the dish. Star. 

Stars 3 and 4: How was the food?

So it's here that things stayed grounded during my visit to Fable. This simply wasn't a great dish, and wouldn't in my mind have been much better served as a proper breakfast sandwich. 

 The English muffin itself was fine but nothing special, and that set the tone for the rest of the dish. The eggs? Also nothing special with a bit of standard cheese, and the hashbrown was soft and squishy as opposed to crispy. The peripheral greens and jam didn't do much to save things, and as a whole I wasn't impressed. No Stars. 

Star 5: Would you eat here every day if you could?

I had some amazing breakfast experiences in Vancouver ranging from Jam Cafe to 49th Parallel, but Fable didn't quite cut it. No Star."
Fable,"I am personally a huge fan of Fable. My favourite go-to dish is the gnocchi- it is absolutely amazing ! It has such great flavour, and the texture is to die for. They used to serve it with pulled pork, which I miss dearly because personally I believe it combined much better than the pork belly. 
Their chickpea fritters are another one of my favourites- everything is so perfectly balanced out- the garnishes (pickled onion and sprouts) compensate for the heaviness of the frying. And the sauce is absolutely delicious. 
You can always count on Fable for everything to be perfectly cooked (Like their poached eggs ! Always and Instagram-worthy ooze when you cut into it),
There are only two downsides that I can think of. The first might be the fact that it's on the pricier side, but the quality of the ingredients and the effort and detailing given to the preparation of the food make the cost understandable. The second is that sometimes in terms of flavour, the dishes your order (if you try to switch it up from what you usually order) might be a little hit and miss, but this is probably due to the fact that everyone has different flavour preferences. There are so many specials and the menu rotates so often and changes so often that sometimes you might fall in love with a dish just for it to disappear a few months later (*insert broken heart emoji*), but at least this really demonstrates how they focus on having the freshest most in-season ingredients and that they're constantly focused on finding and showcasing the best flavours."
Fable,"I should have listened to the JW Marriot concierge when they pretty much ignored my question when I asked about this restaurant.   This is what happens when you are hangry and you just want to eat.  If you are a regular eater, this place would be just fine for you but for those who are more critical and even want delicious healthy options then go somewhere else.  
I really dont eat unhealthy, processed food so my comment on the food is that it has no good quality healthy options. 
The service is pretty lame, our server was like a zombie but the attitude changes when the bill is served.  The only good service we got is from the hostess.   The place is very loud.  Nothing special here for me.  I will not recommend, I regret I went and I will not be a return customer."
Fable,"We love fable , it's our number 1 restaurant to go to.. the food is amazing .. smaller portions but very high quality of ingredients so it's all worth the price .."
Fable,"Came here on a Saturday morning for brunch.

Cozy homey rustic vibe. Low ceilings and close proximity of the tables made for a pretty noisy atmosphere.

Waitress recommended the scrambled eggs and French toast off the menu. 

I ordered the smoked salmon Benedict special for $18.  I found the Benedict Luke warm by the time it came to my table and the English muffin was a bit burnt.   Overall found it a bit sour for my taste, but the salmon was pretty fresh.

The hash brown side that came with benedict was delicious."
Fable,"I came here not knowing what I was getting into, and I'll admit that this was the best stumble I have had the pleasure of stumbling on.

We were biking through the seaside route as we slowly got more and more hungry. Doing a quick google search of restaurants in the area, we settled on Fable and parked our bikes about a block away. Despite being fully booked and during dinner time, we were able to grab two seats at the bar. When we were seated, the guy at bar asked if we had been there before and later given the run down on the menu. We had a friendly conversation on how we couldn't do drinks as we were biking.

The salmon & broccolini was good, my partner said he really liked the veggies. However, we both agreed that it was the spaghetti & meatball that captured our hearts. Cutting into the duck meatball, we saw the juice come out onto the pasta. It was so delicious that I couldn't hold back my excitement when I was asked how my meal was.

Long story short, I love this place now and I want to come back again to try the rest of their dishes. Great service and amazing food."
Fable,"This turned out to be a blessing in disguise.  Our initial yelp find had us in a long line so 2 of us stayed and 2 went to check out another option.  No wait and farm to table....done deal.  The service was very friendly and the server provided suggestions.  Had my first Ceasar (Canadian form of Bloody Mary...loved the seasonings and flavor). The food we ordered made each person eager to share a piece of their meal ... and each taste supported another reason to come back another time.  1) pork shoulder Bennie....cornbread was the base, the hollaindaise amazing, the pork moist and flavorful,  it had some barbeque sauce which I was hesitant about but it worked!  2) Wes's meatball skillet reminded me of the meatball shop in NY....meatballs moist and tasty with the Italian flavors in the sauce as an added bonus. 3) our sweet tooth son had his French toast which was enjoyed by all...no syrup needed.  4) Johnny cakes was similar to mine except my daughter's pancakes had a cornmeal base...it was oh so moist and had the softness of a pancake.  There was that tasty shredded pork on top..yum yum.  Would we come back?  A definite yup yup."
Fable,"Fable Kitchen is a renowned Canadian restaurant run by Trevor Bird, and I must say that it is soaring at a higher level than any run-of-the-mill restaurant.  The wait is long to be seated at this establishment, however, because of its extraordinariness.  It might be good to make a reservation or to simply wait for some seats to open up by taking a  walk around the Kits commercial neighbourhood.

We ordered four of their evening dishes: chickpea fritter, ""canned tuna"", crispy pork ribs, and pan-seared gnocchi.

All of the dishes were exceedingly tasteful, elegant, and novel. The chickpea fritter appeared to be a simple falafel, but it was much, much more. A potato-like and crispy textures were complemented by its golden sauce and crisp, fresh herb toppings. It was gone in two bites, needless to say.  The ""canned tuna,"" was anything but--and I can't help but appreciate the effective and comedic use of irony here--consisted of fried bread and a gourmet fish dipping. The combination was a hit with us, and it was almost immediately eaten entirely--mostly by me. It was like eating luxury tuna on luxury rice (that's a good thing).  And I haven't even gotten to the ribs, but when I did it was gone in an instant. Whatever the sweet, nectar-like sauce was it was an addicting flavour that I couldn't get enough of. The basil surprisingly went well with the ribs and the tender, savoury beans were an excellent complement to the sweet, crispy ribs. Last but not least is the gnocchi. It is indeed non-traditional, but it is exceptional that it melts away any expectations. It pairs excellently with the smooth, white cream and the yellow squash purée to form a triage of comfort and indelible soothing softness.  To round out an already wholesome dish, soft pumpkin seeds and seared kale are added to the fray to complete this dish. 

This was my first time at Fable, so I was not expecting anything, yet I was blown away by this culinary experience.  Not only was the food great, but so was the service. Not to mention the washroom was clean and spacious with some subtle lighting--perfect for one of those ""bathroom selfies""... Of course, the restaurant itself is great for photos as the wooden beams and red brick make for a vibrant background.

I'll still rate this as five stars because of the masterful food. The portions are surprisingly ""French-sized"", i.e., smaller than what will sate a person with a hearty appetite.

I look forward to trying Fable again, with bated breath."
Fable,"Went to Fable for lunch on a Friday with my husband, it was around 12:30pm and literally there was not another single person in the place! I was surprised but it also meant we got the pick of seat and the full attention of the staff, which was really nice.
I was soooo excited to see that they had a Croque Madam on the menu, one of my favorite warm, cheesy with egg sandwiches. It was amazing! I loved it! It had pickled onion, with two beautifully soft eggs on top and a bacon jam with ham inside. It had a Parmesan foam as well and I wasn't sure what that was going to be like, but it was amazing! A definite must try! 
I like the sweet and savoury breakfast sandwich, my husband not as much. But he still really enjoyed the taste and flavour combination. It was accompanied with a simple fricasee salad that was fresh and had a light oil and vinegar dressing. So happy we tried this place for lunch! Now we'll have to come back for dinner"
Fable,The best salmon and gnocchi with pulled pork. Service is exceptional.Smores is also great.
Fable,"Good eats! The food was super fresh and the portions weren't overwhelming large. Enjoyed the handcrafted pasta which was some of the best I've ever had and we also tried the tomato soup accompanied by a grilled cheese, had a nice and crisp crust. My son had the fable burger and fries, he didn't care for it as it was over seasoned and ate about a quarter of it. Ambience was nice, small restaurant and dimly lit during the day. Offered a wine list however we didn't try as we were returning to work. Overall would recommend for those enjoying fresh and quality food!"
Fable,"Great service and food. We had reservations for 630pm but had arrived really early.  They were able to accommodate my friend and I earlier which was great.

I had the smoked duck breast and my friend had the pasta special.  Sorry but I can't remember the name of it.  The duck breast was tender, juicy and delicious.  It was seasoned with cocoa caraway.  The pickled mustard was a bit different and I didn't think it went with the duck so I didn't use it.

The service was efficient, friendly and very helpful as we asked for recommendations for food and wine. 

My friend hasn't been there before so when we went and had the food, she really liked it."
Fable,"Came here for brunch with a friend. 

Food: 3.5/5
I got the Salmon eggs benny and we shared a French Toast. The Salmon very fresh and the benny was good overall but I don't think it was my style of food. The French Toast though, that was another story. The toast was huge, with lots of different fruits and toppings and the texture is very chewy and sweet! Which I really enjoyed. 

Service: 3/5 
Our server was very impatient about giving us time to order, we said we needed a minute a few times and she always gave us a few seconds before coming back haha. But then during the meal, when we needed service she was no where to be found. 

Ambience: 3.5/5 
I liked the design of the place, very dark and artistic. But the tables were very small, crowded and therefore very loud."
Fable,"Came here on a weekday during the winter holidays for lunch with a group of friends. Place was pretty much empty at 11 so we were able to get a table quickly but it fills up pretty quickly at closer the noon. The ambience was casual and the service was top notch. Our server was attentive, patient, and gave good recommendations on food. 

Overall the food was on the saltier side. The appetizers and vegetables are small-medium sized and good for sharing. 
Definitely recommend: 
- Brussel sprouts: crispy brussel sprouts with a good crunch on the outside. Was not overly oily. Rest of the dishes were on the saltier side but this was seasoned perfectly.  Pistachios added a good crunnchhh 
- king oyster mushrooms: a little heavy on the parmesan side for my personal taste but the mushrooms were very fresh  
Meh: 
- Spaghetti & meatball (ducks): Wayyy too salty. The cream pasta sauce is pretty rich with good flavors but the flavors were overshadowed by the salt. The meatball was a slightly overcooked for duck meat and again very salty. I think if they made a few smaller meatballs instead of one large meatball, it may cook more evenly. 
Drinks: 
- Caesar was decent, pretty standard 

Overall, a good experience and would go back again to try their brunch menu but beware of the salty dishes!"
Fable,"This place is the bomb! I first discovered Fable as a fan of Trevor Bird from watching Top Chef Canada, and was so delighted to realize that my new apartment in Vancouver would be down the street from the restaurant. Fable is my go-to place when a friend is coming to town, a casual night out with friends, or even for a date night. It's also my place for dessert, believe it or not. I rarely ever order dessert at a restaurant unless it's a special occasion, but you MUST try the dessert here!! If you come / live in Vancouver, you gotta try Fable at least once.I'll let the food do the talking, but I'd bet money that you won't be disappointed."
Fable,"After eating the most amazing dinner we talked about coming back for breakfast! So here we are again! It is hard to describe everything we experienced when eating here other than to say that every unique bite is crafted to perfection and so thought out from ingredient to finish.
Our server, Claude, made the dinner even more enjoyable with his quick service and great knowledge of the offerings.
Whenever we visit Vancouver, we will come back. And that is a promise!"
Fable,"Went to fable on Sunday morning for brunch and didn't have to wait for a table. Service was very very nice and fast. This is definitely a ""fancier"" brunch place. So it is a little bit more pricey but they present their food like it's a high end restaurant and fable means farm to table which means that they source everything from local farms. I got the farmers muffin which I did enjoy with a side of bacon. I did liked their black peppered jam it was complimented the sausage so we'll. Their potatoes were nice and crispy and soft in the inside.  Portions are small(for guys mostly), my boyfriend left still hungry, I felt satisfied, not overly full but it was a good enough portion for me"
Fable,"Fable is my favorite restaurant in Vancouver--the food and drinks are superb, the staff and owner are friendly and attentive, and the atmosphere is cozy and classy. The seared gnocchi is our favorite dish, and their Old Fashions are amazing. It's best to book a reservation--while they do take walk-ins, it fills up fast. We got in by coming a few minutes before they opened at 5 pm."
Fable,"From the first moment to the last, Fable delivered an incredible experience not only because every dish bursted in flavour but the service was so engaging and fun by the wonderful European gentleman. I think it's a tempered French accent... not Quebecois cause he can actually enunciate words.  

Fable sits on 4th Avenue near Kitsilano Beach.  The dining room itself is quite dim as it sits receded back into the space.  The front section has their open kitchen with all it's glorious smells spilling into the streets.  Though it is very dim, you can still make out the room which is whimsical with it's decor notes from a farm.  The lighting fixtures are pickforks and the walls are exposed bricks with lots of warm golden woods everywhere.  The rooster is found in different spots around the room in addition to standing proudly on their sign.  I have to give thanks to Fable for not cramming in the tables to the point you're sitting on another person.  It's a popular spot as we saw the room always at 90% capacity but I couldnt hear my neighbours conversation all the time.

As I mentioned, the service here was just great.  The gentleman was warm, personable with stories of the dishes, and just enthusiastic. He always had a way of making us laugh with his super dry delivery and then hit you with this infectious giggle at the end.  You had to just smile back.  On top of being just a great person to talk to... he had really wonderful ways to describe each dish.  He clearly had a passion and favourites.  We followed all his suggestions and we were rewarded with a phenomenal night.

Crispy Chickpeas fritters - Dinner kicked off with these crunchy fritters that held a tender and almost fluffy interior.  The curry mayo pops the flavour up with the spices while the pickled onion cuts through creamy curry with a bright bold sweet and acidic kick.  I just loved this as a starter. 4.5/5

Octopus salad - This was their seasonal daily offering and I think they should keep this on the menu.  The plating was pretty but hiding under the wreath of endive, you'd find the plumpest and crispy pork belly pieces with the perfectly charred tender octopus.  How could they get both components so perfectly crispy charred with still keeping everything so supple and delicious to tear into it. On top of those 2 amazing things, they also had the added elements of potato rosti croutons.  This is just really amazing crispy potato shreds in a cube form. Then they top it off with a delicious sauce of cauliflower honey mustard.  You have smokey, meaty, a touch of sweetness, and a kick of spiced heat from the mustard.  Just a great dish.  I could have eaten more of this.  5/5

Charred Beets - Simple vegetables elevated ... I'm not sure how they made this so smokey but that added flavour element kept this from being a boring salad.  The smokiness reminded me of the best smoked ribs in a BBQ.  The heavier char taste was nicely contrasted by the tangy smooth goat cheese and the fresh herbal sauce.  At the end, the natural sweetness of the beets come through.  It's definitely one of the better beet preparations I've had. 5/5

Smoked Duck Breast with carrots done 4 ways - I think its cute but there's a smiley face on the plate for this duck breast.  I think it's very happy it was cooked at Fable cause this was another great dish.  This particular duck was done nicely to medium rare so it had that nice ruby shade inside.  It was juicy and had a right gamey rich meat flavour that goes beyond your regular chicken.  The accompaniment of carrots was so interesting.  It was pureed (creamy and naturally sweet), roasted (tender with some good savour flavour from roasting... it almost tastes like chicken fat), pickled (bright and punchy from the vinegar), and raw shredded (for that nice crunch).  On top of all this there was a sharp caraway mustard seed sauce that paired with it.  Another great dish that I could happily eat again.  5/5

Rhubarb berries goat cheesecake - At this point I was ready to call it quits but the gentleman was kind enough to explain how delicious their desserts were.  With the words of ""rhubarb and fresh berries"" uttered, I was sold.  I like a light fresh tart and berry flavour so this was a perfect end.  The creamy goat cheese cake was a nice base for the hazelnut praline.  The praline so good with its sweet, crunchy, nutty, and a wonderful flavour of caramel.  The cherries were added as a gelee which was a wonderfully concentrated pop of flavour as you had some of the tart rhubarb.  Fresh blueberries were added just in case you didnt have enough fresh berry flavour already.  4.5/5

Fable has a lot of fans in Vancouver and it's completely deserving.  It was the best restaurant I went to during my trip and a stand out with it's interesting use of local ingredients and possibly one of the better service experiences in a while.  Definitely make reservations... you won't be sorry."
Fable,"Food: 5.0 of 5.0
Service: 5.0 of 5.0
Environment: 5.0 of 5.0

This place is phenomenal!!! From the decor, to the service down to the food, everything here is spectacular :) 

Before we jump into the food review, I want to preface this by describing how hungry we were. We hadn't eaten anything for 20 hours! We ordered the Kimchi Fried Chicken and the Rutabaga Tagliatelle, ooomph! Both were wonderfully delicous, fresh, and a perfect portion size. The combination of ingredients compliment each other very well. We left feeling satiated and satisfied!

The warm friendly service along with the romantic farm to table themed interior makes for a great date spot but is casual/professional enough to hold business oriented gatherings. Keep up the delicious food and spot on service!"
Fable,"This was our first stop on our day trip in Vancouver. I have to admit, parking was kind of hard to find so try and get there early if you can.

The restaurant itself was smaller than I expected but it was still very accommodating. The food tasted great. I got to try out their fish Benedict right before they ran out! And I highly recommend it."
Fable,"Stopped by here with a few friends for brunch as it was somewhere I wanted to try out and heard good things about it.

First thing, our server was quite blunt and rude. She pretty much indirectly told my boyfriend he was fat and would need to order a dish that had more food on it for him. She continued to make insulting comments to him throughout the meal that I don't even remember what they were because I was so baffled. I'm not sure if she was trying to hit on him or be funny? Anyways...

Prices are a bit high for what you get. I got the scrambled eggs with parmesan foam. It was good but it was in the smallest mason jar and the portions were small. I'm a big eater but for the price and portion size, it was not worth it. Will not be going back"
Fable,"Came here for an evening dinner treat-myself sort of adventure and Fable did not disappoint! I arrived as a party for one mid week, so that likely made seating easy. The food was simply amazing. They pulled off a simple off-menu garden salad, (to much of the next table's surprise or envy) and I had a succulent smoked duck breast to follow. My server made sure I had a fantastic evening and needless to say, I will be holding them in high regards and back for more."
Fable,"Where does one even begin to say how amazing this place was? I don't know how we were lucky enough to find this place but we have been visiting from Chicago for one week and nothing has compared to Fable! From the coziness of the restaurant, the amazing wait staff and the incredible food, there is nothing bad to be said about this place.  

We started with focaccia with a delicious tomato jalapeño butter, incredible chickpea fritters and the spaghetti duck meatball with parmesan foam and all were fantastic. We especially loved the curry mayonnaise sauce on the fritters.  We then had oyster mushrooms, a pea gnocchi and the salmon, which they recommended to do medium rare.  Everything was outstanding!  We finished with the s'mores dessert and lemon meringue with London fog ice cream.  Best meal ever!  They change the menu seasonally so it would be fun to visit frequently and sample new items. They also have a great wine selection and use Coravin, and therefore have a large selection of wines by the glass."
Fable,"Keywords: daily specials, unique 

You can feel the Canadian vibes here. (Interior is dark and the place is little loud)

Presentation of each dishes were very unique and visually pleasing. 

I recommend you go for daily specials because they never fail. 

However, If you don't want to give it a go on daily specials, Duck breast steak and desserts are always a smart choice here."
Fable,Went for brunch with friends and the food was ok - nothing really special. I got the steak and eggs and my friend got the eggs benedict. For $25 I was expecting my steak to be a lot bigger - I only got a few slices that was maybe 120g in total? I guess this is Vancouver pricing for ya. The service was fine.
Fable,"Wow! We went for Dine Out Vancouver, and this place was so delicious. I didn't know what to expect when reading the menu, as a lot of the menu items were things that I've never tried. I went due to the farm to table concept and it was conveniently during Dine Out. My appetizer was the Chickpea Fritters. I've never had Chickpea, but every bite was amazing! The Braised Lamb entree was delicious and I tried a bite of the Seared Ling Cod which was perfectly seared and the hollandaise sauce paired well. Lastly, we got the Lemon Parfait and Sticky Date Pudding for desert and both tasted great. Loved that they were in the glass cups and were the perfect size for us. As for the service, it was great! Our server came by several times during the dinner and asked us how our food was, despite how busy the restaurant was. Love this restaurant and will definitely be going back next time we're in Vancouver!"
