Restaurant,description
Fable,turned out blessing in disguise our initial yelp find had u in long line u stayed and went check out another option no wait and farm table done deal service very friendly and server provided suggestion had my first ceasar canadian form bloody mary loved seasoning and flavor food we ordered made each person eager share piece their meal and each taste supported another reason come back another time pork shoulder bennie cornbread base hollaindaise amazing pork moist and flavorful had barbeque sauce which hesitant about but worked wes s meatball skillet reminded meatball shop in ny meatball moist and tasty with italian flavor in sauce added bonus our sweet tooth son had his french toast which enjoyed by no syrup needed johnny cake similar except my daughter s pancake had cornmeal base oh moist and had softness pancake there tasty shredded pork top yum yum would we come back definite yup yup
Fable,fable kitchen renowned canadian restaurant run by trevor bird and must say soaring higher level than run mill restaurant wait long seated establishment however because it extraordinariness might good make reservation simply wait seat open up by taking walk around kit commercial neighbourhood we ordered four their evening dish chickpea fritter canned tuna crispy pork rib and pan seared gnocchi dish exceedingly tasteful elegant and novel chickpea fritter appeared simple falafel but much much more potato like and crispy texture complemented by it golden sauce and crisp fresh herb topping gone in two bite needle say canned tuna anything but and can t help but appreciate effective and comedic use irony consisted fried bread and gourmet fish dipping combination hit with u and almost immediately eaten entirely mostly by like eating luxury tuna luxury rice that s good thing and not even gotten rib but when gone in instant whatever sweet nectar like sauce addicting flavour could not get enough basil surprisingly went well with rib and tender savoury bean excellent complement sweet crispy rib last but not least gnocchi indeed non traditional but exceptional melt away expectation pair excellently with smooth white cream and yellow squash pur e form triage comfort and indelible soothing softness round out already wholesome dish soft pumpkin seed and seared kale are added fray complete dish my first time fable not expecting anything yet blown away by culinary experience not only food great but service not mention washroom clean and spacious with subtle lighting perfect one those bathroom selfies course restaurant great photo wooden beam and red brick make vibrant background i ll still rate five star because masterful food portion are surprisingly french sized e smaller than what will sate person with hearty appetite look forward trying fable again with bated breath
Fable,went fable lunch friday with my husband around pm and literally there not another single person in place surprised but also meant we got pick seat and full attention staff which really nice soooo excited see they had croque madam menu one my favorite warm cheesy with egg sandwich amazing loved had pickled onion with two beautifully soft egg top and bacon jam with ham inside had parmesan foam well and wasn t sure what going like but amazing definite must try like sweet and savoury breakfast sandwich my husband not much but still really enjoyed taste and flavour combination accompanied with simple fricasee salad fresh and had light oil and vinegar dressing happy we tried place lunch now we ll come back dinner
Fable,best salmon and gnocchi with pulled pork service exceptional smores also great
Fable,good eats food super fresh and portion weren t overwhelming large enjoyed handcrafted pasta which best i ve ever had and we also tried tomato soup accompanied by grilled cheese had nice and crisp crust my son had fable burger and fry not care over seasoned and ate about quarter ambience nice small restaurant and dimly lit during day offered wine list however we not try we returning work overall would recommend those enjoying fresh and quality food
Fable,great service and food we had reservation pm but had arrived really early they able accommodate my friend and earlier which great had smoked duck breast and my friend had pasta special sorry but can t remember name duck breast tender juicy and delicious seasoned with cocoa caraway pickled mustard bit different and not think went with duck not use service efficient friendly and very helpful we asked recommendation food and wine my friend hasn t been there before when we went and had food really liked
Fable,came brunch with friend food got salmon egg benny and we shared french toast salmon very fresh and benny good overall but not think my style food french toast though another story toast huge with lot different fruit and topping and texture very chewy and sweet which really enjoyed service our server very impatient about giving u time order we said we needed minute few time and always gave u few second before coming back haha but then during meal when we needed service no where found ambience liked design place very dark and artistic but table very small crowded and therefore very loud
Fable,came weekday during winter holiday lunch with group friend place pretty much empty we able get table quickly but fill up pretty quickly closer noon ambience casual and service top notch our server attentive patient and gave good recommendation food overall food saltier side appetizer and vegetable are small medium sized and good sharing definitely recommend brussel sprout crispy brussel sprout with good crunch outside not overly oily rest dish saltier side but seasoned perfectly pistachio added good crunnchhh king oyster mushroom little heavy parmesan side my personal taste but mushroom very fresh meh spaghetti meatball duck wayyy too salty cream pasta sauce pretty rich with good flavor but flavor overshadowed by salt meatball slightly overcooked duck meat and again very salty think they made few smaller meatball instead one large meatball may cook more evenly drink caesar decent pretty standard overall good experience and would go back again try their brunch menu but beware salty dish
Fable,place bomb first discovered fable fan trevor bird from watching top chef canada and delighted realize my new apartment in vancouver would street from restaurant fable my go place when friend coming town casual night out with friend even date night it s also my place dessert believe not rarely ever order dessert restaurant unless it s special occasion but you must try dessert you come live in vancouver you gotta try fable least once i ll let food talking but i d bet money you won t disappointed
Fable,after eating most amazing dinner we talked about coming back breakfast we are again hard describe everything we experienced when eating than say every unique bite crafted perfection and thought out from ingredient finish our server claude made dinner even more enjoyable with his quick service and great knowledge offering whenever we visit vancouver we will come back and promise
Fable,went fable sunday morning brunch and not wait table service very very nice and fast definitely fancier brunch place little bit more pricey but they present their food like it s high end restaurant and fable mean farm table which mean they source everything from local farm got farmer muffin which enjoy with side bacon liked their black peppered jam complimented sausage we ll their potato nice and crispy and soft in inside portion are small guy mostly my boyfriend left still hungry felt satisfied not overly full but good enough portion
Fable,fable my favorite restaurant in vancouver food and drink are superb staff and owner are friendly and attentive and atmosphere cozy and classy seared gnocchi our favorite dish and their old fashion are amazing it s best book reservation they take walk in fill up fast we got in by coming few minute before they opened pm
Fable,from first moment last fable delivered incredible experience not only because every dish bursted in flavour but service engaging and fun by wonderful european gentleman think it s tempered french accent not quebecois cause can actually enunciate word fable sits th avenue near kitsilano beach dining room quite dim sits receded back into space front section their open kitchen with it s glorious smell spilling into street though very dim you can still make out room which whimsical with it s decor note from farm lighting fixture are pickforks and wall are exposed brick with lot warm golden wood everywhere rooster found in different spot around room in addition standing proudly their sign give thanks fable not cramming in table point you re sitting another person it s popular spot we saw room always capacity but could not hear my neighbour conversation time mentioned service just great gentleman warm personable with story dish and just enthusiastic always had way making u laugh with his super dry delivery and then hit you with infectious giggle end you had just smile back top being just great person talk had really wonderful way describe each dish clearly had passion and favourite we followed his suggestion and we rewarded with phenomenal night crispy chickpea fritter dinner kicked off with these crunchy fritter held tender and almost fluffy interior curry mayo pop flavour up with spice pickled onion cut through creamy curry with bright bold sweet and acidic kick just loved starter octopus salad their seasonal daily offering and think they should keep menu plating pretty but hiding under wreath endive you d find plumpest and crispy pork belly piece with perfectly charred tender octopus how could they get component perfectly crispy charred with still keeping everything supple and delicious tear into top those amazing thing they also had added element potato rosti crouton just really amazing crispy potato shred in cube form then they top off with delicious sauce cauliflower honey mustard you smokey meaty touch sweetness and kick spiced heat from mustard just great dish could eaten more charred beet simple vegetable elevated i m not sure how they made smokey but added flavour element kept from being boring salad smokiness reminded best smoked rib in bbq heavier char taste nicely contrasted by tangy smooth goat cheese and fresh herbal sauce end natural sweetness beet come through it s definitely one better beet preparation i ve had smoked duck breast with carrot done way think it cute but there s smiley face plate duck breast think it s very happy cooked fable cause another great dish particular duck done nicely medium rare had nice ruby shade inside juicy and had right gamey rich meat flavour go beyond your regular chicken accompaniment carrot interesting pureed creamy and naturally sweet roasted tender with good savour flavour from roasting almost taste like chicken fat pickled bright and punchy from vinegar and raw shredded nice crunch top there sharp caraway mustard seed sauce paired with another great dish could happily eat again rhubarb berry goat cheesecake point ready call quits but gentleman kind enough explain how delicious their dessert with word rhubarb and fresh berry uttered sold like light fresh tart and berry flavour perfect end creamy goat cheese cake nice base hazelnut praline praline good with it sweet crunchy nutty and wonderful flavour caramel cherry added gelee which wonderfully concentrated pop flavour you had tart rhubarb fresh blueberry added just in case you not enough fresh berry flavour already fable lot fan in vancouver and it s completely deserving best restaurant went during my trip and stand out with it s interesting use local ingredient and possibly one better service experience in definitely make reservation you won t sorry
Fable,food service environment place phenomenal from decor service food everything spectacular before we jump into food review want preface by describing how hungry we we had not eaten anything hour we ordered kimchi fried chicken and rutabaga tagliatelle ooomph wonderfully delicous fresh and perfect portion size combination ingredient compliment each very well we left feeling satiated and satisfied warm friendly service along with romantic farm table themed interior make great date spot but casual professional enough hold business oriented gathering keep up delicious food and spot service
Fable,our first stop our day trip in vancouver admit parking kind hard find try and get there early you can restaurant smaller than expected but still very accommodating food tasted great got try out their fish benedict right before they ran out and highly recommend
Fable,stopped by with few friend brunch somewhere wanted try out and heard good thing about first thing our server quite blunt and rude pretty much indirectly told my boyfriend fat and would need order dish had more food him continued make insulting comment him throughout meal not even remember what they because baffled i m not sure trying hit him funny anyways price are bit high what you get got scrambled egg with parmesan foam good but in smallest mason jar and portion small i m big eater but price and portion size not worth will not going back
Fable,came evening dinner treat myself sort adventure and fable not disappoint arrived party one mid week likely made seating easy food simply amazing they pulled off simple off menu garden salad much next table s surprise envy and had succulent smoked duck breast follow my server made sure had fantastic evening and needle say will holding them in high regard and back more
Fable,where one even begin say how amazing place not know how we lucky enough find place but we been visiting from chicago one week and nothing compared fable from coziness restaurant amazing wait staff and incredible food there nothing bad said about place we started with focaccia with delicious tomato jalape o butter incredible chickpea fritter and spaghetti duck meatball with parmesan foam and fantastic we especially loved curry mayonnaise sauce fritter we then had oyster mushroom pea gnocchi and salmon which they recommended medium rare everything outstanding we finished with s more dessert and lemon meringue with london fog ice cream best meal ever they change menu seasonally would fun visit frequently and sample new item they also great wine selection and use coravin and therefore large selection wine by glass
Fable,keywords daily special unique you can feel canadian vibe interior dark and place little loud presentation each dish very unique and visually pleasing recommend you go daily special because they never fail however you not want give go daily special duck breast steak and dessert are always smart choice
Fable,went brunch with friend and food ok nothing really special got steak and egg and my friend got egg benedict expecting my steak lot bigger only got few slice maybe g in total guess vancouver pricing ya service fine
Fable,wow we went dine out vancouver and place delicious not know what expect when reading menu lot menu item thing i ve never tried went due farm table concept and conveniently during dine out my appetizer chickpea fritter i ve never had chickpea but every bite amazing braised lamb entree delicious and tried bite seared ling cod which perfectly seared and hollandaise sauce paired well lastly we got lemon parfait and sticky date pudding desert and tasted great loved they in glass cup and perfect size u service great our server came by several time during dinner and asked u how our food despite how busy restaurant love restaurant and will definitely going back next time we re in vancouver
Fable,got just before am opening glad not many people in line however with limited seating inside not fooled into thinking not get busy by am almost full house fable known it brand straight from farm table with what offer from their menu fresh wholesome indeed we ordered benedict with oil hollandaise pulled pork johnny cake well side poached egg bacon had fish option with my benedict which comprised halibut cod scallop not forget add maple syrup bacon yummy found my benedict average tasting only because they probably healthiest i ve ever had i m more savory sweet tooth pile sugar type lol johnny cake amazing course poured whole lot maple syrup amazing dish overall brunch very satisfying you not feel uncomfortabley stuffed afterwards great atmosphere attentive service will try fable dinner one night
Fable,went brunch fable beautiful saturday morning and great time we seated immediately and our server kind and knowledgeable about menu brunch menu fairly small special interesting and food satisfying we ordered french toast and ham benedict former quite good fresh fruit and berry compote complemented sweetness bread nicely benedict also good though non traditional because olive oil based hollandaise we also had blueberry and orange juice mimosa overall good time reasonable price and nice atmosphere
Fable,thought coming pm would beat crowd but waitress said place full and would take least minute get table two we lucky two customer bar left earlier than expected we could take their place sitting bar pro and con fun having close up view chef making dish but proximity stove made my face hot and my clothes smell still food delicious and service excellent wonder good look prerequisite part service crew most staff dashing haha had risotto with pork belly every bite yummy dessert pretty lemon meringue with nice blend ice cream and cooky might too sour people but great next time i ll make reservation since they accept one
Fable,we just landed in vancouver and looked up best canadian restaurant open and lunch and fable came up what canadian food i m ready move duck meatball and spaghetti with parmesan foam literally changed my life it s rich but darn good i ve never ever had meatball crispy outside juicy and chewy inside can t stop thinking about pasta fresh and perfect well fritter light and flavorful great texture chickpea really difficult and chef nailed roasted beet salad had smoked cheese under what great twist beet salad that s many restaurant now loved subtle flavor grilled cheese sandwich they ran out bacon day we put pulled pork in ours pulled pork awesome ended up making bit too sweet texture perfect though and potato perfectly cooked tasted like sou vide and fried great welcome canada meal asian waitress super sweet and chef good looking said won cooking competition we picked perfectly thank you much awesome meal
Fable,before say anything our server night lisa deserves extra special mention wish there separate section give server rating deserves ten star out incredibly attentive despite how busy paid great attention detail food allergy very warm friendly and kind love her came with my closest friend special occasion day before my birthday made reservation month in advance and forgot during dine out time when we walked in extra loud and extra busy and they sat u tiny table really meant people there no way we going comfortable my friend kindly requested another table possible we quickly moved larger table where we had plenty room we very happy with how our server able fulfill request lisa very helpful with making recommendation cocktail suggested we might want add vodka gin non alcoholic beverage which not know option forgot name but got blueberry pomegranate drink with vodka like how they use organic juice and house made syrup ordered chickpea fritter which beautifully presented and had most delectable curry mayo should probably asked possible purchase buy jar by case could see myself putting everything also appreciated whenever lisa came with each course would explain element went into each dish highlighted each dish complex in it way with very well balanced flavour also just made feel kind fancy and special hear going eat something well made and delicious thank you taking time lisa my main course got mushroom cavatelli with side hour short rib add glad added short rib because creaminess mushroom sauce and savoury ness short rib perfect pairing had eat extra slow because not want saucey savour y party end desert got lemon meringue parfait which presented with lighted candle my birthday such nice surprise truly felt like birthday girl haha thought really nice special touch make my night much more memorable overall can see place get raving review about fine dining level cuisine and exceptionally memorable service thanks making my pre birthday dinner ah mayyyzzz ingg
Fable,we sat right away saturday brunch service good food came fast had best brunch caesar wish stuck with coffee had daily feature which sockeye salmon cake benny with beet relish not great relish too sweet boyfriend had pulled pork jimmy cake which not enjoy very much looking forward trying place awhile but underwhelmed not think we ll returning brunch anytime soon
Fable,they able accommodate our party easily their brunch menu very few option but able find something knew i d like ordered breakfast sandwich and replaced hash brown with side tomato basil soup soup wasn t best tasted very watery and def tasted like came out can breakfast sandwich however awesome thick cut bacon and egg large slice sourdough bread
Fable,fantastic place eat we stopped in brunch and not disappointed they farm table mentality which we love and staff are very helpful and friendly would return when in town
Fable,cant think single thing not love we ate tomato soup with grilled cheese chickpea fritter and egg benedict never had such simple food tasted complex our waitress i m unsure her name incredibly friendly and attentive them and we never moment left wanting would and will drive minute kitsalano just eat again
Fable,oh fable you are fab first timer today in wonderful restaurant my friend and sat bar which awesome we got see kitchen in action food looked and smelled delicious from what seeing in front u ordered fable muffin sausage cheese scrambled egg tomato and black pepper jam die my friend got most popular brunch item scrambled egg with parmesan foam looked absolutely divine and confirmed kitchen staff are damn calm not know how they such professional serving staff also delight chat with you can tell they too love product they serve and sell you re local visiting vancity must visit
Fable,my taste bud completely shocked by how amazing and tasteful every dish they serve chef know their stuff with many flavor going in each dish they complement each perfectly my friend and visiting from seattle two day and we came dinner those night never had such amazing food perfect you re going dinner you must get their roasted duck dish could not stop raving about how good their chickpea fritter are also amazing now go go go not hesitate and just go promise you wont disappointed
Fable,came surprise birthday dinner and fell in love with food reservation are recommended staff attentive and friendly one my favorite in vancouver must try you not
Fable,saw review yelp decided try it s pretty good not five star but definitely four we ordered benny and pasta and would say it s pretty pricy item taste good service good
Fable,always good time fable blacklight martini and amaretto sour are favorite well their fresh daily pasta it s excellent s more desert divine
Fable,service and food had one pasta die pork bolonese and gnocchi good but likely wouldn t get again foccacia good but i d skip though not my fave bread even best time though more dry side v moist like most foccacia
Fable,always great food and service when come fable been kit and broadway fable never disappoints
Fable,claude our server get tap first because made u welcome and service exemplary before we even tasted food dinner hand delicate and delicious we just about forgot everything else it s our third time fable and keep getting finer from appy dessert their ever changing menu many seasonal highlight
Fable,we went late valentine s day dinner my boyfriend and could not celebrate actual day start off making reservation extremely easy and there multiple time slot available friday evening not let fool you quite busy when we arrived and they squish you like sardine in their strategic floor plan when we first arrived we greeted by hostess and seated almost immediately it s restaurant smaller end and and table are close one another you literally bump elbow with guest sitting table next you however we not much issue because we got enjoyment listening our neighbor s conversation which you cannot avoid since you re right next them not sure explainable but decor farm table decor well food please keep in mind they change their menu seasonally and what their website not match menu they had evening not bother u much considering we still enjoyed our food we ordered glazed pork rib cavatelli canned tuna charred beet chef s special green with blue berry vinaigrette and lemon meringue dessert glazed pork rib came with about pound very good portion tender juicy meat seasoning point and had asian flair my favorite dish evening cavatelli you can tell pasta hand made and best quality saltier side but we loved mushroom tender and great flavor canned tuna marketed their best selling dish bit too oily our liking but still had great flavor charred beet absolutely loved beet had nice smokey flavor from charring almond added very sweet crunch and cheese paired very well chef green special highly recommend not getting green small bowl mixed green with dressing tasted like something you buy off sale rack grocery store very bland and dry not worth something dollar we ended up adding our beet salad just give more flavor lemon meringue earl grey icecream best part dessert could care le about lemon aspect highly recommend just ordering ice cream in could would give fable instead due lack urgency from wait staff we had call our waitress every time and even once had order from different server
Fable,fantastic spot bite eat hollondaise sauce egg benny die cozy homey atmosphere with fairly small local selection make place absolute gem wait food can little bit high you arrive opening but quality food more than male up
Fable,food and service pretty good bit expensive because farm table aspect organic ethically raised local but expected people left review portion size small they small but expected level dining enjoyed cornbread appetizer and main course and too full dessert there really wasn t much particularly memorable about food good but not great which reason can t give more than star remember drink sounded really unique and not loaded with mix syrup which important but they weren t strong would liked appreciate although they out cranberry juice drink ordered they suggested get with local blueberry juice instead nice rather than them saying drink altogether unavailable also ordered wine with my main course and waitress told my choice not suited meal had ordered and suggested few others try trusted her opinion and tried one her suggestion but unfortunately wasn t my taste i m type person embarrassed not know much about wine too shy ask something else totally not waitress appreciate her effort help out with pairing though location great and food decent i ll likely back
Fable,nice quaint place small dinner had duck breast main spaghetti and lamb sausage with my friend appetizer they tasty and my friend and enjoyed them we also had lemon merengue dessert which alright staff remember my birthday and put candle which nice will definitely come back been fan trevor bird s work since saw top chef canada season and star
Fable,ate gem my birthday recently seasonal changing menu amazingly fresh organic ingredient unique dish emphasizing true western cuisine price are fair paid under including tip dish people sharing style serving great atmosphere and rather busy however little secret from staff told quieter crowd best time monday tuesday just head up parking issue fable not provide parking in back th
Fable,we had super lovely meal when we came with our friend saturday especially like intimate setting very romantic yet cozy time we had late afternoon snack before dinner we weren t too hungry four u opted share three entree angel hair smoked duck breast and grilled flat iron raisin quinoa under smoked duck breast blew my mind away could not stop eating already tried find recipe online try recreate p back review everything fresh hence farm table concept we find each plate smaller side drink tried kiss from rose cocktail believe that s what it s called refreshing but could tad bit stronger and dessert we had lemon meringue parfait will recommend and will return
Fable,wonderful experience never sat in front open kitchen restaurant seeing my food being prepared and plated entertaining ordered pulled pork johnny cake delicious super friendly staff got try their new menu item brunch salad with compliment chef soooo nice and funny salad had falafel with curry dressing very unique and tasty
Fable,when you see vote and and rating then you gotta check place interior nice and food very tasty portion are good size and price average considering they serve local ingredient and support local business that s another star list overall agree with i ll give them rating well hope back soon tasty pasta with duck meat ball and fried oyster keep up good work
